Iteration,Features,NumberFeatures,Accuracy
1,"[1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12]",11,0.751
2,"[1, 2, 3, 5, 6, 7, 8, 10, 11, 12]",10,0.772
3,"[1, 2, 3, 5, 6, 7, 10, 11, 12]",9,0.785
4,"[2, 3, 5, 6, 7, 10, 11, 12]",8,0.805
5,"[2, 3, 5, 6, 7, 10, 12]",7,0.818
6,"[3, 5, 6, 7, 10, 12]",6,0.844
7,"[3, 5, 6, 7, 12]",5,0.879
8,"[5, 6, 7, 12]",4,0.912
9,"[6, 7, 12]",3,0.943
10,"[7, 12]",2,0.98
11,[7],1,0.858
