Iteration,Features,NumberFeatures,Accuracy
1,[7],1,0.858
2,"[7, 12]",2,0.98
3,"[7, 12, 10]",3,0.95
4,"[7, 12, 10, 5]",4,0.925
5,"[7, 12, 10, 5, 1]",5,0.881
6,"[7, 12, 10, 5, 1, 8]",6,0.867
7,"[7, 12, 10, 5, 1, 8, 9]",7,0.832
8,"[7, 12, 10, 5, 1, 8, 9, 6]",8,0.806
9,"[7, 12, 10, 5, 1, 8, 9, 6, 2]",9,0.776
10,"[7, 12, 10, 5, 1, 8, 9, 6, 2, 11]",10,0.761
11,"[7, 12, 10, 5, 1, 8, 9, 6, 2, 11, 3]",11,0.751
12,"[7, 12, 10, 5, 1, 8, 9, 6, 2, 11, 3, 4]",12,0.726
