Iteration,Features,NumberFeatures,Accuracy
19,"[1, 2, 3, 6, 7, 10, 11, 12, 13, 15, 16, 17, 18, 19, 20, 21, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 38, 40, 41, 42, 43, 44, 45, 46, 47, 50, 52, 53, 54, 56, 58, 60, 62, 63, 64]",45,75.76666666666667
20,"[1, 2, 3, 6, 7, 10, 11, 12, 13, 15, 16, 17, 18, 19, 20, 21, 23, 24, 25, 26, 28, 29, 30, 32, 33, 38, 40, 41, 42, 43, 44, 45, 46, 47, 50, 52, 53, 54, 56, 58, 60, 62, 63, 64]",44,75.33333333333333
21,"[1, 2, 3, 6, 7, 10, 11, 12, 15, 16, 17, 18, 19, 20, 21, 23, 24, 25, 26, 28, 29, 30, 32, 33, 38, 40, 41, 42, 43, 44, 45, 46, 47, 50, 52, 53, 54, 56, 58, 60, 62, 63, 64]",43,75.5
22,"[1, 2, 3, 6, 7, 10, 11, 12, 15, 16, 17, 18, 19, 20, 21, 23, 24, 25, 26, 28, 29, 30, 32, 33, 38, 40, 41, 42, 43, 44, 45, 46, 47, 50, 52, 53, 54, 56, 58, 60, 62, 63]",42,75.6
23,"[1, 2, 3, 6, 7, 10, 11, 12, 15, 16, 17, 18, 19, 20, 21, 23, 24, 25, 26, 28, 29, 30, 32, 33, 38, 40, 41, 42, 43, 44, 45, 46, 47, 50, 52, 54, 56, 58, 60, 62, 63]",41,75.83333333333333
24,"[1, 2, 3, 6, 7, 10, 11, 12, 15, 16, 17, 18, 19, 20, 21, 23, 24, 25, 26, 28, 29, 30, 32, 33, 38, 40, 41, 42, 43, 44, 46, 47, 50, 52, 54, 56, 58, 60, 62, 63]",40,76.56666666666668
25,"[1, 2, 3, 6, 7, 10, 11, 12, 15, 16, 17, 18, 19, 20, 21, 23, 24, 25, 26, 28, 29, 30, 32, 33, 38, 40, 41, 42, 43, 44, 46, 47, 50, 52, 54, 56, 58, 60, 63]",39,76.56666666666668
26,"[1, 2, 3, 6, 7, 10, 11, 12, 15, 16, 17, 18, 19, 20, 21, 23, 24, 25, 26, 28, 29, 30, 32, 33, 40, 41, 42, 43, 44, 46, 47, 50, 52, 54, 56, 58, 60, 63]",38,76.56666666666668
27,"[1, 2, 3, 6, 7, 10, 11, 12, 15, 16, 17, 18, 19, 20, 21, 23, 24, 25, 26, 28, 29, 30, 32, 33, 40, 41, 43, 44, 46, 47, 50, 52, 54, 56, 58, 60, 63]",37,76.16666666666667
28,"[1, 2, 3, 6, 7, 10, 12, 15, 16, 17, 18, 19, 20, 21, 23, 24, 25, 26, 28, 29, 30, 32, 33, 40, 41, 43, 44, 46, 47, 50, 52, 54, 56, 58, 60, 63]",36,75.93333333333334
