Iteration,Features,NumberFeatures,Accuracy
1,[3],1,0.88
2,"[3, 4]",2,0.9533333333333334
3,"[3, 4, 1]",3,0.9533333333333334
4,"[3, 4, 1, 2]",4,0.96
