Iteration,Features,NumberFeaturesAccuracy
1,[7],1,0.858
2,"[7, 12]",2,0.98
3,"[7, 12, 10]",3,0.95
4,"[7, 12, 10, 5]",4,0.925
5,"[7, 12, 10, 5, 1]",5,0.881
6,"[7, 12, 10, 5, 1, 8]",6,0.867
